epoch,accuracy
1,0.1535322621780158
2,0.4718184136699822
3,0.8409844427441979
4,0.9433817903596021
5,0.9852078551389951
6,0.9946442234123948
7,0.9971945932160163
8,0.9985972966080081
9,0.9988523335883703
10,0.9992348890589136
11,0.9989798520785514
12,0.9996174445294568
13,0.9993624075490947
14,0.9993624075490947
15,0.9993624075490947
16,0.9994899260392757
17,0.9992348890589136
18,0.9992348890589136
19,0.9992348890589136
20,0.9992348890589136
21,0.9984697781178271
22,0.9994899260392757
23,0.9987248150981892
24,0.9994899260392757
25,0.9992348890589136
26,0.9994899260392757
