Epoch,Training Loss,Validation Loss
1,0.009394161847027401,0.0142594118950428
2,0.0005395987550984089,0.013778327517514306
3,0.0003408774574213261,0.013275745786665901
4,0.00037633939105600057,0.01289036044060846
5,0.00034265860520652256,0.011666943867426678
6,0.00034696425768882135,0.010689741159983054
7,0.00035215395288409136,0.009839264887983238
8,0.0003657197400354299,0.010066030715382859
9,0.00033589959706041333,0.010963743385987552
10,0.00033855442676535295,0.012078424718806414
11,0.0003317176969437395,0.012692293333047262
12,0.00032573655314994607,0.014059664090959037
