Fold,Epoch,Batch,Training Loss
1,0,20,0.24101585149765015
1,0,40,0.14455462992191315
1,0,60,0.1499575525522232
1,0,80,0.172525092959404
1,0,100,0.2098441869020462
1,0,120,0.10868899524211884
1,0,140,0.15430974960327148
1,0,160,0.13661770522594452
1,0,180,0.08652051538228989
1,0,200,0.09793572127819061
1,0,220,0.1092434823513031
1,0,240,0.09603382647037506
1,0,260,0.07620615512132645
1,0,280,0.11026088893413544
1,0,300,0.07805290818214417
1,0,320,0.1332811564207077
1,0,340,0.13002873957157135
1,0,360,0.10359484702348709
1,0,380,0.10780070722103119
1,0,400,0.10642106831073761
1,0,420,0.08038698136806488
1,0,440,0.09507403522729874
1,0,460,0.06362488865852356
1,0,480,0.07108891755342484
1,0,500,0.09184110164642334
1,0,520,0.07966543734073639
1,0,540,0.10174976289272308
1,0,560,0.0869823470711708
1,0,580,0.07597115635871887
1,0,600,0.06593690812587738
1,0,620,0.09171998500823975
1,0,640,0.05913897976279259
1,0,660,0.06235406547784805
1,0,680,0.06251571327447891
1,0,700,0.10442738234996796
1,0,720,0.07304289937019348
1,0,740,0.10573094338178635
1,0,760,0.06653404235839844
1,0,780,0.0691184550523758
1,0,800,0.051840342581272125
1,0,820,0.06849595159292221
1,0,840,0.038412533700466156
1,0,860,0.07328219711780548
1,0,880,0.05948378145694733
1,0,900,0.04100937768816948
1,0,920,0.045662835240364075
1,0,940,0.043876491487026215
1,0,960,0.05981426313519478
1,0,980,0.05080825835466385
1,0,1000,0.04865420237183571
1,0,1020,0.04338347539305687
1,0,1040,0.03777676820755005
1,0,1060,0.05904947221279144
1,0,1080,0.05310159921646118
1,0,1100,0.05753243714570999
1,0,1120,0.03796446695923805
1,0,1140,0.048922348767519
1,0,1160,0.04156201332807541
1,0,1180,0.0462140329182148
1,0,1200,0.040384385734796524
1,0,1220,0.04202481359243393
1,0,1240,0.059398651123046875
1,0,1260,0.047188784927129745
1,0,1280,0.025992093607783318
1,0,1300,0.04682169854640961
1,0,1320,0.026149921119213104
1,0,1340,0.04976087436079979
1,0,1360,0.02242313325405121
1,0,1380,0.023072436451911926
1,0,1400,0.03463147580623627
1,0,1420,0.038795847445726395
1,0,1440,0.040496088564395905
1,0,1460,0.01769973896443844
1,0,1480,0.01444462314248085
1,0,1500,0.06465617567300797
1,0,1520,0.010572370141744614
1,0,1540,0.024346420541405678
1,0,1560,0.07038123905658722
1,0,1580,0.013835320249199867
1,0,1600,0.01352642197161913
1,0,1620,0.04378969594836235
1,0,1640,0.02840953692793846
1,0,1660,0.010529321618378162
1,0,1680,0.04397321119904518
1,0,1700,0.0057459441013634205
1,0,1720,0.03045954741537571
1,0,1740,0.013814137317240238
1,0,1760,0.03351423516869545
1,0,1780,0.022039609029889107
1,0,1800,0.03207511082291603
1,0,1820,0.028867240995168686
1,0,1840,0.04407801851630211
1,0,1860,0.00706834439188242
1,0,1880,0.01852050982415676
1,0,1900,0.05473397299647331
1,0,1920,0.01599610410630703
1,0,1940,0.018654024228453636
1,0,1960,0.027928782626986504
