epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992348890589136,0.9996174445294568,0.998342259627646,0.9991073705687324,0.9997449630196379,0.9989798520785514,0.998342259627646,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,0.9998724815098189,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,0.9997449630196379,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,0.9996174445294568,1.0,1.0,0.9997449630196379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996174445294568,1.0,1.0,1.0,0.9998724815098189,0.9997449630196379,0.9993624075490947,0.9993624075490947,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993624075490947,0.9997449630196379,0.9971945932160163,0.9996174445294568,0.9997449630196379,0.9998724815098189,0.9991073705687324,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,0.9996174445294568,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0
6,0.9960469268043867,1.0,1.0,1.0,1.0,0.9940066309614894,1.0,1.0,1.0,1.0,1.0,0.9994899260392757,0.9989798520785514,0.9998724815098189,0.9993624075490947,0.9998724815098189,0.9998724815098189,0.9988523335883703,0.9998724815098189,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9960469268043867,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975771486865596
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,0.9992348890589136,0.9989798520785514,0.9997449630196379,1.0,0.9997449630196379,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,0.9985972966080081,1.0,1.0,1.0,1.0,1.0,1.0
9,0.9961744452945677,1.0,0.9987248150981892,1.0,1.0,0.9964294822749299,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,1.0,0.9997449630196379,0.9997449630196379,0.9997449630196379,1.0,0.9994899260392757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,0.991583779648049,1.0,1.0,1.0,1.0,1.0,0.9985972966080081
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996174445294568,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,0.9997449630196379,1.0,0.9997449630196379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997449630196379,1.0,0.9997449630196379,0.9997449630196379,0.9998724815098189,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,0.9992348890589136,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997449630196379,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0
