Epoch,Training Loss,Validation Loss
1,0.026118946515123864,0.0011914955862377566
2,0.0012791854505988254,0.0005166445349696153
3,0.0009886391353677146,0.0001265920005918327
4,0.0008760156852188015,5.3853953121266916e-05
5,0.0007101419894911788,0.00011906295580550109
6,0.0004771674573877023,3.424322586597111e-05
7,0.0007903993736512456,9.266097427138359e-05
8,0.0003476008572191957,0.00012794608543955047
9,0.00020832764863801446,0.001675021167767639
10,0.0005036497780780785,0.0003702610491136585
11,0.000433796016200181,9.770138762475406e-05
