Epoch,Batch,Training Loss
1,20,4.455447196960449e-06
1,40,6.381422281265259e-06
1,60,8.113682270050049e-06
1,80,3.810971975326538e-06
1,100,5.476176738739014e-06
1,120,5.247071385383606e-06
1,140,1.689419150352478e-06
1,160,3.248453140258789e-06
1,180,0.0
1,200,6.124377250671387e-06
1,220,2.9578804969787598e-06
1,240,4.280358552932739e-06
1,260,2.734363079071045e-06
1,280,0.0003616809844970703
1,300,0.00060272216796875
1,320,2.5585293769836426e-05
1,340,4.53069806098938e-05
1,360,3.263354301452637e-05
1,380,1.755356788635254e-05
1,400,2.251937985420227e-05
1,420,0.0
1,440,1.7467886209487915e-05
1,460,2.5909394025802612e-05
1,480,1.3824552297592163e-05
2,20,7.9423189163208e-06
2,40,1.475214958190918e-05
2,60,3.4514814615249634e-06
2,80,9.762123227119446e-06
2,100,3.0212104320526123e-06
2,120,2.86102294921875e-06
2,140,5.3979456424713135e-06
2,160,0.0
2,180,4.839152097702026e-06
2,200,4.926323890686035e-05
2,220,0.0005221366882324219
2,240,6.0498714447021484e-05
2,260,1.582503318786621e-05
2,280,3.5159289836883545e-05
2,300,2.802908420562744e-05
2,320,7.741153240203857e-06
2,340,2.7447938919067383e-05
2,360,1.1831521987915039e-05
2,380,1.609325408935547e-05
2,400,4.84660267829895e-06
2,420,4.414469003677368e-06
2,440,1.2248754501342773e-05
2,460,1.8952414393424988e-05
2,480,1.0516494512557983e-05
3,20,6.310641765594482e-06
3,40,2.9634684324264526e-06
3,60,0.0
3,80,0.0
3,100,2.5350600481033325e-06
3,120,1.6937032341957092e-05
3,140,9.12696123123169e-06
3,160,2.1513551473617554e-06
3,180,1.4264136552810669e-05
3,200,5.143880844116211e-05
3,220,0.0001289844512939453
3,240,9.042024612426758e-05
3,260,0.0
3,280,4.7653913497924805e-05
3,300,2.4557113647460938e-05
3,320,1.0021030902862549e-05
3,340,1.6689300537109375e-05
3,360,3.680586814880371e-05
3,380,1.259148120880127e-05
3,400,2.2232532501220703e-05
3,420,9.961426258087158e-06
3,440,4.537403583526611e-06
3,460,1.2539327144622803e-05
3,480,3.8780272006988525e-06
4,20,1.0477378964424133e-05
4,40,1.3016164302825928e-05
4,60,3.069639205932617e-06
4,80,2.8833746910095215e-06
4,100,1.0959804058074951e-05
4,120,2.5853514671325684e-06
4,140,4.8764050006866455e-06
4,160,6.951391696929932e-06
4,180,1.3209879398345947e-05
4,200,3.1366944313049316e-05
4,220,0.00029087066650390625
4,240,0.0
4,260,6.191432476043701e-05
4,280,2.8714537620544434e-05
4,300,2.2619962692260742e-05
4,320,3.8564205169677734e-05
4,340,1.6480684280395508e-05
4,360,7.361173629760742e-06
4,380,0.0
4,400,1.2017786502838135e-05
4,420,1.0818243026733398e-05
4,440,1.4483928680419922e-05
4,460,8.89599323272705e-06
4,480,1.2192875146865845e-05
5,20,3.5334378480911255e-06
5,40,6.638467311859131e-06
5,60,3.069639205932617e-06
5,80,8.683651685714722e-06
5,100,0.0
5,120,5.241483449935913e-06
5,140,2.4903565645217896e-06
5,160,1.1976808309555054e-05
5,180,8.948147296905518e-06
5,200,1.2461096048355103e-05
5,220,1.8943101167678833e-06
5,240,1.7564743757247925e-06
5,260,1.1473894119262695e-05
5,280,4.59328293800354e-06
5,300,1.4472752809524536e-06
5,320,5.446374416351318e-06
5,340,3.866851329803467e-06
5,360,0.0
5,380,0.0010766983032226562
5,400,0.00030732154846191406
5,420,2.9206275939941406e-05
5,440,3.579258918762207e-05
5,460,1.3202428817749023e-05
5,480,2.092123031616211e-05
6,20,1.6450881958007812e-05
6,40,7.1339309215545654e-06
6,60,3.173947334289551e-05
6,80,1.6964972019195557e-05
6,100,5.088746547698975e-06
6,120,1.4092773199081421e-05
6,140,1.7344951629638672e-05
6,160,4.041939973831177e-06
6,180,0.0
6,200,1.399219036102295e-05
6,220,9.974464774131775e-06
6,240,9.077787399291992e-05
6,260,0.0004037618637084961
6,280,0.00014483928680419922
6,300,3.93986701965332e-05
6,320,1.4185905456542969e-05
6,340,2.2709369659423828e-05
6,360,1.9311904907226562e-05
6,380,3.30507755279541e-05
6,400,1.4357268810272217e-05
6,420,1.2695789337158203e-05
6,440,5.7443976402282715e-06
6,460,1.0378658771514893e-05
6,480,2.3711472749710083e-05
