precision,recall,f1-score,support,epoch
0.9994884038199181,0.9907031778228533,0.9950764006791172,5916.0,1
0.9947368421052631,1.0,0.9973614775725593,378.0,1
0.96,1.0,0.9795918367346939,1128.0,1
1.0,0.9833333333333333,0.9915966386554622,420.0,1
0.9811643835616438,0.9947916666666666,0.9879310344827587,576.0,1
0.9994681794008154,0.9912095639943741,0.9953217406655486,5688.0,1
0.9922909665941886,0.996031746031746,0.9941578374096445,5040.0,1
0.9977085242896425,0.9779874213836478,0.9877495462794919,2226.0,1
1.0,0.9833333333333333,0.9915966386554622,420.0,1
0.9512195121951219,1.0,0.975,156.0,1
0.9844814534443603,0.9852272727272727,0.9848542218856494,2640.0,1
0.921602787456446,0.9280701754385965,0.9248251748251748,570.0,1
0.5769230769230769,0.8796296296296297,0.6968215158924206,324.0,1
0.948170731707317,0.7004504504504504,0.805699481865285,444.0,1
0.855072463768116,0.6555555555555556,0.7421383647798742,450.0,1
0.7312138728323699,0.8971631205673759,0.8057324840764332,282.0,1
0.8247863247863247,0.9747474747474747,0.8935185185185185,396.0,1
0.6457960644007156,0.7916666666666666,0.7113300492610838,456.0,1
0.9670886075949368,0.854586129753915,0.9073634204275535,894.0,1
0.9540918163672655,0.8951310861423221,0.923671497584541,534.0,1
0.9512195121951219,1.0,0.975,156.0,1
0.6618357487922706,0.8782051282051282,0.7548209366391184,156.0,1
0.8518518518518519,0.5111111111111111,0.6388888888888888,90.0,1
0.9506172839506173,0.7129629629629629,0.8148148148148148,108.0,1
0.984375,0.40384615384615385,0.5727272727272728,156.0,1
0.9533333333333334,0.9533333333333334,0.9533333333333334,300.0,1
0.8855721393034826,0.7416666666666667,0.8072562358276644,240.0,1
1.0,0.48333333333333334,0.651685393258427,120.0,1
0.3089430894308943,0.7037037037037037,0.4293785310734463,54.0,1
0.5512820512820513,0.7962962962962963,0.6515151515151515,54.0,1
1.0,0.358974358974359,0.5283018867924528,78.0,1
0.9617021276595744,0.9912280701754386,0.9762419006479481,228.0,1
0.8921568627450981,0.6893939393939394,0.7777777777777778,264.0,1
1.0,0.9774774774774775,0.9886104783599089,222.0,1
1.0,0.40476190476190477,0.576271186440678,42.0,1
0.8181818181818182,0.625,0.7086614173228346,72.0,1
1.0,0.015151515151515152,0.029850746268656716,66.0,1
0.6463414634146342,0.9814814814814815,0.7794117647058824,216.0,1
0.8015267175572519,0.8333333333333334,0.8171206225680934,126.0,1
0.8018223234624146,0.9777777777777777,0.8811013767209012,360.0,1
0.9794344473007712,0.9202898550724637,0.9489414694894147,414.0,1
0.8653846153846154,0.75,0.8035714285714286,60.0,1
0.8571428571428571,0.9166666666666666,0.8859060402684564,72.0,1
0.9554047802621434,0.9505093274423171,0.9529507667225495,32592.0,1
0.883907610563632,0.8164096017202386,0.8195936403317169,32592.0,1
0.9625195281851242,0.9505093274423171,0.9520206880168014,32592.0,1
0.959813762281245,0.9515557255802092,0.9520059851735444,32592.0,1
