Fold,Epoch,Batch,Training Loss
1,1,20,0.20470455288887024
1,1,40,0.20533113181591034
1,1,60,0.22109289467334747
1,1,80,0.13864688575267792
1,1,100,0.1506761610507965
1,1,120,0.15917645394802094
1,1,140,0.12988094985485077
1,1,160,0.13620275259017944
1,1,180,0.0949634313583374
1,1,200,0.14281423389911652
1,1,220,0.13219809532165527
1,1,240,0.12286065518856049
1,1,260,0.08380251377820969
1,1,280,0.11653655022382736
1,1,300,0.1307251900434494
1,1,320,0.10272230952978134
1,1,340,0.09043076634407043
1,1,360,0.10987137258052826
1,1,380,0.10140857845544815
1,1,400,0.1124042496085167
1,1,420,0.12957654893398285
1,1,440,0.10660954564809799
1,1,460,0.10762537270784378
1,1,480,0.08204439282417297
1,1,500,0.1285475343465805
1,1,520,0.10156356543302536
1,1,540,0.06952207535505295
1,1,560,0.0911252498626709
1,1,580,0.04623241722583771
1,1,600,0.1007210910320282
1,1,620,0.04940951243042946
1,1,640,0.10464171320199966
1,1,660,0.10370645672082901
1,1,680,0.07987742871046066
1,1,700,0.07604343444108963
1,1,720,0.07696076482534409
1,1,740,0.07365844398736954
1,1,760,0.08537589758634567
1,1,780,0.06806426495313644
1,1,800,0.06975656747817993
1,1,820,0.07661699503660202
1,1,840,0.07442515343427658
1,1,860,0.06582674384117126
1,1,880,0.07156962156295776
1,1,900,0.08156420290470123
1,1,920,0.0613449327647686
1,1,940,0.06325418502092361
1,1,960,0.0519123449921608
1,1,980,0.075836181640625
1,1,1000,0.06539614498615265
1,1,1020,0.09733600169420242
1,1,1040,0.06102795898914337
1,1,1060,0.04918452352285385
1,1,1080,0.05615232139825821
1,1,1100,0.060440655797719955
1,1,1120,0.04836156591773033
1,1,1140,0.06267860531806946
1,1,1160,0.07052839547395706
1,1,1180,0.04922332242131233
1,1,1200,0.0530216209590435
1,1,1220,0.044887010008096695
1,1,1240,0.06005265936255455
1,1,1260,0.07183552533388138
1,1,1280,0.058465275913476944
1,1,1300,0.06336618959903717
1,1,1320,0.028070440515875816
1,1,1340,0.059330906718969345
1,1,1360,0.0382700078189373
1,1,1380,0.043029557913541794
1,1,1400,0.034385181963443756
1,1,1420,0.04001200571656227
1,1,1440,0.07265748828649521
1,1,1460,0.03300470486283302
1,1,1480,0.03344668447971344
1,1,1500,0.015808384865522385
1,1,1520,0.01748088002204895
1,1,1540,0.04699055105447769
1,1,1560,0.038083456456661224
1,1,1580,0.025984758511185646
1,1,1600,0.07357814908027649
1,1,1620,0.04051244631409645
1,1,1640,0.033066798001527786
1,1,1660,0.023504383862018585
1,1,1680,0.020176537334918976
1,1,1700,0.018047910183668137
1,1,1720,0.0472511425614357
1,1,1740,0.0445597805082798
1,1,1760,0.03918168321251869
1,1,1780,0.07126451283693314
1,1,1800,0.030453970655798912
1,1,1820,0.03349067270755768
1,1,1840,0.019312573596835136
1,1,1860,0.05581992119550705
1,1,1880,0.024931641295552254
1,1,1900,0.045733120292425156
1,1,1920,0.0260065495967865
1,1,1940,0.03663776442408562
1,1,1960,0.030197206884622574
