Epoch,Training Loss,Validation Loss
1,2.6486928162536,1.3279168178496195
2,0.6823135467806483,0.27096527344461857
3,0.12818026830389248,0.06897787654927938
4,0.03273931766549746,0.037356978760322825
5,0.014780260455923351,0.03068130074235821
6,0.009054476346033133,0.027978664713621502
7,0.006578350106511659,0.027132969261422116
8,0.005066667608651749,0.026722404292818774
9,0.004200177004076238,0.026804450080898837
10,0.0035948754946996528,0.027045325044155605
11,0.003221203345896267,0.027231527383575812
12,0.0027689695097051744,0.027461558814414696
