Epoch,Training Loss,Validation Loss
1,2.53384956208671,1.1894644537671277
2,0.6178329182349569,0.25335236440001097
3,0.11806857482931478,0.06808347489434444
4,0.031820721348853616,0.039976040891498754
5,0.014991367190349393,0.032764427478628164
6,0.009252706712975008,0.030752565840718216
7,0.006694910970206062,0.030499924148780024
8,0.005218904616871501,0.029686612183040355
9,0.00435448192415865,0.029827791913421994
10,0.00375115848146379,0.030010300409143636
11,0.0035621974895503825,0.03017407157501043
12,0.0031259928203407465,0.03187036994222766
13,0.0028093032590000002,0.031078552508578768
