Epoch,Training Loss,Validation Loss
1,0.8563099755239796,0.021261448063319775
2,0.013779405914645361,0.0053186349881192045
3,0.00879900411858229,0.0036445282554874816
4,0.007856042061144269,0.0034028532894941547
5,0.007552310824394226,0.004413658247624592
6,0.006592260010833539,0.002901919641365426
7,0.006452131453370903,0.0029060592805319353
8,0.006784063938717299,0.0027145454780732443
9,0.006378070289025353,0.002665414114537596
10,0.0062362520586577855,0.0034799523220011373
11,0.0062387147731332165,0.002832377899714511
12,0.005974583797106546,0.0025197620339392555
13,0.006149201634129682,0.0024518958764714834
14,0.00587196046513289,0.0024223047624743446
15,0.005808699060984946,0.0027018281634957567
