epoch,accuracy
1,0.05572558020913032
2,0.06618209640397858
3,0.06694720734506504
4,0.11922978831930629
5,0.1933180311145116
6,0.2336138740117317
7,0.34672277480234637
8,0.4442744197908697
9,0.5828870186176995
10,0.7081101759755164
11,0.7690640142820709
12,0.8218566692170365
13,0.8726090283091048
14,0.8939046161693446
15,0.9072940576383576
16,0.9329252741647539
17,0.9612343789849528
18,0.9736036725325172
19,0.9806171894924764
20,0.984952818158633
21,0.9889058913542463
22,0.9919663351185922
23,0.9931140015302219
24,0.9956643713338434
25,0.9961744452945677
26,0.9964294822749299
27,0.9968120377454731
28,0.9974496301963784
29,0.9977046671767407
30,0.9973221117061974
31,0.9978321856669217
32,0.9982147411374649
33,0.9984697781178271
34,0.9985972966080081
35,0.9984697781178271
36,0.998342259627646
37,0.9987248150981892
38,0.9982147411374649
39,0.998342259627646
40,0.9982147411374649
