epoch,accuracy
1,0.0677123182861515
2,0.11948482529966845
3,0.1965059933690385
4,0.2702116806937006
5,0.38918643203264475
6,0.6219076766131089
7,0.7862790104565162
8,0.8584544758990054
9,0.8954348380515175
10,0.9436368273399643
11,0.9681203774547309
12,0.9876307064524356
13,0.989926039275695
14,0.9951542973731191
15,0.9965570007651109
16,0.998342259627646
17,0.9982147411374649
18,0.9984697781178271
19,0.9985972966080081
20,0.9992348890589136
21,0.9989798520785514
22,0.9991073705687324
23,0.9993624075490947
24,0.9994899260392757
25,0.9991073705687324
26,0.9994899260392757
27,0.9993624075490947
28,0.9992348890589136
29,0.9992348890589136
30,0.9994899260392757
31,0.9993624075490947
32,0.9993624075490947
33,0.9991073705687324
34,0.9991073705687324
35,0.9989798520785514
36,0.9992348890589136
37,0.9994899260392757
38,0.9993624075490947
39,0.9992348890589136
40,0.9992348890589136
