Fold,Epoch,Batch,Training Loss
1,1,20,0.5049125552177429
1,1,40,0.2568960189819336
1,1,60,0.19043771922588348
1,1,80,0.12405222654342651
1,1,100,0.11420322209596634
1,1,120,0.0977025255560875
1,1,140,0.09385288506746292
1,1,160,0.0917070209980011
1,1,180,0.07412978261709213
1,1,200,0.07669009268283844
1,1,220,0.06543201953172684
1,1,240,0.07489725202322006
1,1,260,0.04676390811800957
1,1,280,0.06540608406066895
1,1,300,0.040692273527383804
1,1,320,0.05897480994462967
1,1,340,0.03872951120138168
1,1,360,0.0317058190703392
1,1,380,0.0307288970798254
1,1,400,0.02989969775080681
1,1,420,0.04407196864485741
1,1,440,0.029841501265764236
1,1,460,0.022730153053998947
1,1,480,0.026120519265532494
1,1,500,0.0511644221842289
1,1,520,0.026525123044848442
1,1,540,0.015363103710114956
1,1,560,0.02184288762509823
1,1,580,0.030057312920689583
1,1,600,0.01830178312957287
1,1,620,0.012499990873038769
1,1,640,0.019028140231966972
1,1,660,0.01218225248157978
1,1,680,0.009881985373795033
1,1,700,0.018209047615528107
1,1,720,0.011599799618124962
1,1,740,0.011887711472809315
1,1,760,0.009206894785165787
1,1,780,0.013765371404588223
1,1,800,0.014016148634254932
1,1,820,0.01345935557037592
1,1,840,0.011690386570990086
1,1,860,0.01224829163402319
1,1,880,0.006802435498684645
1,1,900,0.005051355343312025
1,1,920,0.00836354959756136
1,1,940,0.007437119726091623
1,1,960,0.00786549597978592
1,1,980,0.010620384477078915
1,1,1000,0.013827627524733543
1,1,1020,0.007186946924775839
1,1,1040,0.009547865949571133
1,1,1060,0.0048381430096924305
1,1,1080,0.004386650398373604
1,1,1100,0.005185295362025499
1,1,1120,0.004186027217656374
1,1,1140,0.007833979092538357
1,1,1160,0.016726268455386162
1,1,1180,0.01105536799877882
1,1,1200,0.00982027780264616
1,1,1220,0.005928936880081892
1,1,1240,0.007163014728575945
1,1,1260,0.0036701164208352566
1,1,1280,0.005264270585030317
1,1,1300,0.007248179987072945
1,1,1320,0.008301482535898685
1,1,1340,0.0049362159334123135
1,1,1360,0.005967808421701193
1,1,1380,0.0031126183457672596
1,1,1400,0.0035320797469466925
1,1,1420,0.009809751063585281
1,1,1440,0.006659491918981075
1,1,1460,0.013511952944099903
1,1,1480,0.002867708448320627
1,1,1500,0.0026857219636440277
1,1,1520,0.004920485429465771
1,1,1540,0.00912583526223898
1,1,1560,0.0017681133467704058
1,1,1580,0.0015649731503799558
1,1,1600,0.002807825803756714
1,1,1620,0.002194287022575736
1,1,1640,0.0029063972178846598
1,1,1660,0.0020082956179976463
1,1,1680,0.0023143247235566378
1,1,1700,0.0015562099870294333
1,1,1720,0.003330114297568798
1,1,1740,0.0019313470693305135
1,1,1760,0.004690295550972223
1,1,1780,0.0016401524189859629
1,1,1800,0.004227907862514257
1,1,1820,0.002451439155265689
1,1,1840,0.0015512669924646616
1,1,1860,0.0012914605904370546
1,1,1880,0.002405830891802907
1,1,1900,0.005844970233738422
1,1,1920,0.004575398750603199
1,1,1940,0.002298088278621435
1,1,1960,0.0019798222929239273
