Fold,Epoch,Training Loss,Validation Loss
1,1,0.01731460264765487,0.004254359894480377
1,2,0.0034290109293288675,0.0026194894766906588
1,3,0.002604709584933955,0.0004013054947347636
1,4,0.0022026156084627947,0.009358665250691754
1,5,0.0017402586450700004,0.0010929070436053764
1,6,0.00145254817981294,0.001044455690564147
1,7,0.0012501622254878512,0.0014240942566299006
1,8,0.0009839752219265815,0.0006995133349333603
