Epoch,Training Loss,Validation Loss
1,0.0003363958497336343,0.008241097880627643
2,0.00032719530562053757,0.008086291370298242
3,0.00031905134195222873,0.007712813622497268
4,0.0003286424128987396,0.008444252215246329
5,0.0003445616687300412,0.007618175472991306
6,0.000319144886086684,0.007353945124404111
7,0.0003204184752607601,0.00704203076778261
8,0.00032293853822283733,0.006743516257220626
9,0.00031893801758241393,0.006739096259069611
10,0.0003335070486082444,0.006737204714863026
11,0.00039704758560099086,0.0072305729672402
12,0.00042051167934829494,0.009180689033696322
13,0.00034172693362304003,0.01001106308606582
