epoch,accuracy
1,0.05496046926804387
2,0.15289466972711044
3,0.28921193573068094
4,0.43866360622290235
5,0.6465187452180566
6,0.806171894924764
7,0.8891864320326447
8,0.9488650854373885
9,0.9741137464932416
10,0.9835501147666411
11,0.9901810762560571
12,0.9922213720989543
13,0.9942616679418516
14,0.9955368528436623
15,0.9955368528436623
16,0.9964294822749299
17,0.9957918898240244
18,0.996684519255292
19,0.9975771486865596
20,0.9979597041571028
21,0.9978321856669217
22,0.9975771486865596
23,0.998342259627646
24,0.998342259627646
25,0.9982147411374649
26,0.9984697781178271
27,0.9982147411374649
28,0.9987248150981892
29,0.9988523335883703
30,0.9985972966080081
31,0.9989798520785514
32,0.9989798520785514
33,0.9992348890589136
34,0.9988523335883703
35,0.9993624075490947
36,0.9988523335883703
37,0.9992348890589136
38,0.9993624075490947
39,0.9991073705687324
40,0.9984697781178271
