epoch,accuracy
1,3.188063888800331e-05
2,0.06414384544266268
3,0.06946791213695923
4,0.06669429655370293
5,0.07265597602575956
6,0.0903816112474894
7,0.11365447763573182
8,0.1277776006631173
9,0.14333535244046292
10,0.17470590110625817
11,0.192208371855772
12,0.19651225810565243
13,0.20910511046641375
14,0.2344183377434884
15,0.2521758536041062
16,0.2701884145758281
17,0.30914655529696816
18,0.34010265565721937
19,0.3837472502948959
20,0.4512066821819109
21,0.5163388274301017
22,0.5951158861223579
23,0.6363694328434342
24,0.6723626741479899
25,0.7095673797302898
26,0.7494500589791819
27,0.7736155832562884
28,0.7959957917556668
29,0.8134026205885166
30,0.8281314757547741
31,0.84608027544872
32,0.8627219689482577
33,0.874198998947939
34,0.8836675486976759
35,0.8955909076417892
36,0.9010106162527497
37,0.9050913380304141
38,0.9120094366691108
39,0.9196289093633436
40,0.9345490483629292
