epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,0.9994899260392757,0.9997449630196379,0.9998724815098189,0.9998724815098189,0.9994899260392757,0.9914562611578679,0.9994899260392757,0.9998724815098189,0.9997449630196379,0.9993624075490947,0.9998724815098189,0.9831675592960979,0.9586840091813313,0.9603417495536852,0.9426166794185157,0.9640397857689365,0.9764090793165009,0.9686304514154552,0.9739862280030605,0.9923488905891354,0.9992348890589136,0.9801071155317521,0.9885233358837031,0.9862280030604438,0.9801071155317521,0.9617444529456771,0.9693955623565417,0.9846977811782709,0.9931140015302219,0.9931140015302219,0.990053557765876,0.9709257842387146,0.9663351185921959,0.9997449630196379,0.9946442234123948,0.9908186687069626,0.991583779648049,0.9724560061208876,0.9839326702371843,0.9852078551389951,0.9912012241775058,0.9923488905891354,0.9908186687069626
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9955368528436623,0.9956643713338434,0.9974496301963784,0.9959194083142056,0.998342259627646,0.9985972966080081,0.9971945932160163,0.9984697781178271,0.9998724815098189,1.0,0.9985972966080081,0.9974496301963784,0.9965570007651109,0.998342259627646,0.9993624075490947,0.9994899260392757,0.9993624075490947,0.9931140015302219,0.993241520020403,0.9903085947462382,1.0,0.9987248150981892,1.0,0.9946442234123948,0.9908186687069626,0.991583779648049,0.9918388166284111,0.9839326702371843,0.9989798520785514,0.9994899260392757,0.9923488905891354,0.9952818158633002
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992348890589136,0.9991073705687324,0.9994899260392757,0.998342259627646,0.9993624075490947,0.9998724815098189,0.9984697781178271,0.9997449630196379,1.0,1.0,0.9996174445294568,0.9996174445294568,0.9956643713338434,0.9997449630196379,1.0,0.9998724815098189,0.9997449630196379,0.9998724815098189,1.0,1.0,1.0,0.9997449630196379,1.0,0.9993624075490947,0.9985972966080081,0.9996174445294568,1.0,0.9998724815098189,0.9997449630196379,0.9998724815098189,0.9998724815098189,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996174445294568,0.9998724815098189,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9997449630196379,1.0,1.0,0.9998724815098189,0.9996174445294568,0.9998724815098189,0.9996174445294568,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,0.9998724815098189,0.9997449630196379,1.0,1.0,0.9998724815098189,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9996174445294568,0.9998724815098189,0.9996174445294568,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,0.9997449630196379,0.9998724815098189,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,0.9994899260392757,1.0,1.0,0.9998724815098189,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9996174445294568,0.9996174445294568,0.9998724815098189,1.0,1.0,0.9994899260392757,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,0.9998724815098189,1.0,0.9997449630196379,0.9997449630196379,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,0.9997449630196379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997449630196379,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,0.9996174445294568,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,1.0,0.9997449630196379,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997449630196379,0.9998724815098189,1.0,1.0,1.0,1.0,0.9997449630196379,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997449630196379,0.9998724815098189,0.9997449630196379,1.0,1.0,0.9997449630196379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998724815098189,0.9998724815098189,0.9998724815098189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
