Epoch,Training Loss,Validation Loss
1,0.00039865436172776696,0.009406821971498449
2,0.0003384622705383359,0.008929700468185944
3,0.00038084530038284917,0.008429269381635301
4,0.00033086614186312175,0.007900431125086115
5,0.00032250920420630157,0.008634847607056618
6,0.0003131600912440333,0.007635765107252376
7,0.0003053287349279323,0.008827409163265057
8,0.00021379802062794305,0.0076801851436332355
9,0.0004607798102977562,0.006912221314340103
10,0.00033884538743500796,0.006637694979546974
11,0.0002922409284260511,0.006279566550173461
12,0.0003309077915191165,0.006440842948187657
13,0.0002901105972693554,0.006151963259611417
14,0.00043498938167614717,0.006687260826595783
15,0.00028648074843146663,0.0061454665145624044
16,0.0004416788015856034,0.009624155783435194
