Epoch,Batch,Training Loss
1,20,7.247552275657654e-06
1,40,2.302229404449463e-06
1,60,2.1867454051971436e-06
1,80,4.202127456665039e-06
1,100,1.9837170839309692e-06
1,120,1.1421740055084229e-05
1,140,1.823529601097107e-06
1,160,3.46451997756958e-06
1,180,3.3229589462280273e-06
1,200,1.5981495380401611e-06
1,220,3.0659139156341553e-06
1,240,1.475214958190918e-06
1,260,2.8461217880249023e-06
1,280,2.7455389499664307e-06
1,300,0.0
1,320,1.2703239917755127e-06
1,340,3.6712735891342163e-06
1,360,3.5762786865234375e-06
1,380,0.0
1,400,3.380700945854187e-06
1,420,0.0
1,440,2.130866050720215e-06
1,460,0.0009255409240722656
1,480,2.9489398002624512e-05
2,20,2.417154610157013e-05
2,40,9.551644325256348e-06
2,60,1.583993434906006e-05
2,80,1.3437122106552124e-05
2,100,5.912035703659058e-06
2,120,1.5713274478912354e-05
2,140,4.567205905914307e-06
2,160,3.212690353393555e-05
2,180,0.0003085136413574219
2,200,2.4439767003059387e-05
2,220,3.956258296966553e-05
2,240,3.0308961868286133e-05
2,260,1.6748905181884766e-05
2,280,0.0
2,300,2.537667751312256e-05
2,320,5.695968866348267e-06
2,340,4.984438419342041e-06
2,360,2.7917325496673584e-05
2,380,2.5480985641479492e-05
2,400,3.840774297714233e-06
2,420,7.178634405136108e-06
2,440,1.0248273611068726e-05
2,460,9.572133421897888e-06
2,480,2.993270754814148e-06
3,20,2.7082860469818115e-06
3,40,2.5834888219833374e-06
3,60,1.4729797840118408e-05
3,80,7.035210728645325e-06
3,100,0.0
3,120,1.2818723917007446e-05
3,140,8.13603401184082e-06
3,160,0.0
3,180,0.00015270709991455078
3,200,0.00021636486053466797
3,220,9.79006290435791e-05
3,240,2.7254223823547363e-05
3,260,5.416572093963623e-05
3,280,2.606213092803955e-05
3,300,1.4722347259521484e-05
3,320,1.3023614883422852e-05
3,340,1.7646700143814087e-05
3,360,9.760260581970215e-06
3,380,8.031725883483887e-06
3,400,1.973658800125122e-05
3,420,0.0
3,440,1.9818544387817383e-06
3,460,3.1441450119018555e-06
3,480,0.0
4,20,5.010515451431274e-06
4,40,2.4810433387756348e-06
4,60,1.4454126358032227e-06
4,80,2.555549144744873e-06
4,100,1.1362135410308838e-06
4,120,2.0042061805725098e-06
4,140,1.3634562492370605e-06
4,160,8.195638656616211e-07
4,180,1.8905848264694214e-06
4,200,0.0
4,220,6.444752216339111e-07
4,240,5.923211574554443e-07
4,260,1.6763806343078613e-06
4,280,0.0
4,300,0.0
4,320,8.940696716308594e-07
4,340,4.1350722312927246e-07
4,360,3.8370490074157715e-07
4,380,5.476176738739014e-07
4,400,1.7508864402770996e-07
4,420,8.288770914077759e-07
4,440,4.1546300053596497e-05
4,460,0.0003328360617160797
4,480,9.351968765258789e-05
5,20,2.1785497665405273e-05
5,40,2.4411827325820923e-05
5,60,1.3612210750579834e-05
5,80,1.1399388313293457e-05
5,100,4.548579454421997e-06
5,120,0.0
5,140,1.862645149230957e-09
5,160,1.3783574104309082e-05
5,180,0.00017392635345458984
5,200,7.236190140247345e-05
5,220,1.788511872291565e-05
5,240,3.900565207004547e-05
5,260,3.0063092708587646e-05
5,280,1.6868114471435547e-05
5,300,2.8312206268310547e-05
5,320,6.146728992462158e-06
5,340,5.39049506187439e-06
5,360,1.4496967196464539e-05
5,380,2.648867666721344e-05
5,400,4.015862941741943e-06
5,420,1.4912337064743042e-05
5,440,1.031532883644104e-05
5,460,6.476417183876038e-06
5,480,9.136274456977844e-06
6,20,8.339062333106995e-06
6,40,1.0425224900245667e-05
6,60,7.471069693565369e-06
6,80,4.7441571950912476e-06
6,100,1.5750527381896973e-05
6,120,2.1345913410186768e-06
6,140,0.0002734065055847168
6,160,0.0003129243850708008
6,180,2.5095418095588684e-05
6,200,2.9535964131355286e-05
6,220,1.1280179023742676e-05
6,240,1.8730759620666504e-05
6,260,3.197789192199707e-05
6,280,2.068653702735901e-05
6,300,0.0
6,320,1.6305595636367798e-05
6,340,1.4517456293106079e-05
6,360,1.3154000043869019e-05
6,380,1.1991709470748901e-05
6,400,1.1136755347251892e-05
6,420,1.023709774017334e-05
6,440,3.1795352697372437e-06
6,460,0.0
6,480,2.8330832719802856e-06
7,20,7.890164852142334e-06
7,40,2.4940818548202515e-06
7,60,9.424984455108643e-06
7,80,3.2763928174972534e-05
7,100,0.0001838207244873047
7,120,0.00010621733963489532
