Epoch,Training Loss,Validation Loss
1,0.10862141383276938,0.020338570995922147
2,0.014370342868317655,0.005301657020604007
3,0.004827388935217865,0.0019691464367590007
4,0.0028737096757060886,0.001567639870680598
5,0.0027959529927394935,0.0017927591457703208
6,0.00207925984611528,0.0011732481374224972
7,0.0013782960640611752,0.0012216543109166403
8,0.001677741053563499,0.0026229115560016092
9,0.0011614075073637562,0.0008295214961294248
10,0.0012018651881230552,0.000608931616250134
11,0.0010157353102611026,0.0008427790994056897
12,0.0010768788072685787,0.0007123651768226542
13,0.0014089933614511623,0.003777071677134777
14,0.0005298629371624686,0.0020113204837487342
15,0.0003309947071746826,0.0006520699661376892
