Epoch,Training Loss,Validation Loss
1,0.10634616184258898,0.018072164121185074
2,0.013325922793847207,0.005072742847565225
3,0.005585832051864527,0.0028502756277002366
4,0.003367865835828612,0.002446334883538614
5,0.0015240972825490097,0.0009583967406090638
6,0.001258034777437297,0.000949286932880161
7,0.0017680853842724448,0.0013515659497557128
8,0.0015388178661816076,0.0009401205018421738
9,0.0017813930762806043,0.0011089759902367397
10,0.0014038019275946908,0.0006312386068832906
11,0.0015041125691299044,0.0009026847977058766
12,0.0012010045197943858,0.0007128211188423702
