epoch,accuracy
1,0.07816883448099975
2,0.0697526141290487
3,0.10188727365467992
4,0.14562611578678908
5,0.19472073450650346
6,0.23960724305024228
7,0.2779903085947462
8,0.3421321091558276
9,0.4558786023973476
10,0.591940831420556
11,0.6958684009181332
12,0.7748023463402194
13,0.8085947462382045
14,0.8474878857434328
15,0.8837031369548585
16,0.8969650599336904
17,0.9209385360877327
18,0.9403213465952563
19,0.9660800816118337
20,0.981637337413925
21,0.9846977811782709
22,0.9878857434327978
23,0.9936240754909462
24,0.9956643713338434
25,0.9960469268043867
26,0.9971945932160163
27,0.9970670747258352
28,0.9973221117061974
29,0.9971945932160163
30,0.9975771486865596
31,0.9973221117061974
32,0.9978321856669217
33,0.9975771486865596
34,0.9977046671767407
35,0.9979597041571028
36,0.9980872226472839
37,0.9980872226472839
38,0.9980872226472839
39,0.9984697781178271
40,0.9979597041571028
