Epoch,Training Loss,Validation Loss
1,0.8452554143616235,0.02415358802167381
2,0.009968649986239867,0.008770757392654574
3,0.004056003174930432,0.00693023465649505
4,0.002861001300947957,0.006418742530040321
5,0.0023633239539710012,0.006441547163398709
6,0.0022013414852214926,0.006030680284725608
7,0.001986130523576464,0.006097890339636554
8,0.002009149634293181,0.0061095359034096155
9,0.0018743847100942135,0.005940658622480478
10,0.0020011512685716277,0.0062207005301876585
11,0.0018528691610294017,0.006058088787481174
