Epoch,Batch,Training Loss
1,20,6.9141387939453125e-06
1,40,1.969747245311737e-05
1,60,3.4086406230926514e-06
1,80,5.8300793170928955e-06
1,100,3.762543201446533e-07
1,120,2.641230821609497e-06
1,140,8.285045623779297e-06
1,160,7.4747949838638306e-06
1,180,6.766989827156067e-06
1,200,2.173706889152527e-06
1,220,4.5318156480789185e-06
1,240,4.7292560338974e-06
1,260,9.976327419281006e-06
1,280,7.4785202741622925e-06
1,300,5.3122639656066895e-06
1,320,5.4836273193359375e-06
1,340,1.69314444065094e-06
1,360,5.133450031280518e-06
1,380,4.906207323074341e-06
1,400,1.7993152141571045e-06
1,420,4.338100552558899e-06
1,440,0.0001519322395324707
1,460,0.00015915557742118835
1,480,3.737024962902069e-05
2,20,5.753524601459503e-05
2,40,4.509091377258301e-05
2,60,4.810839891433716e-05
2,80,2.0269304513931274e-05
2,100,3.496930003166199e-05
2,120,7.780268788337708e-06
2,140,2.8135254979133606e-05
2,160,1.862645149230957e-09
2,180,5.790963768959045e-06
2,200,2.110004425048828e-05
2,220,5.00120222568512e-06
2,240,0.1273239254951477
2,260,0.00044812634587287903
2,280,0.0002076663076877594
2,300,4.485808312892914e-05
2,320,4.743598401546478e-05
2,340,5.0848349928855896e-05
2,360,2.0937994122505188e-05
2,380,9.24617052078247e-06
2,400,3.220885992050171e-05
2,420,2.178177237510681e-05
2,440,2.6017427444458008e-05
2,460,6.260350346565247e-06
2,480,5.606561899185181e-06
3,20,1.9237399101257324e-05
3,40,8.897855877876282e-06
3,60,1.4901161193847656e-07
3,80,1.553073525428772e-05
3,100,7.273629307746887e-06
3,120,3.471970558166504e-06
3,140,6.470829248428345e-06
3,160,9.056180715560913e-06
3,180,1.1440366506576538e-05
3,200,1.862645149230957e-09
3,220,5.327165126800537e-06
3,240,9.801238775253296e-06
3,260,6.910413503646851e-06
3,280,8.864328265190125e-06
3,300,6.448477506637573e-06
3,320,6.115064024925232e-06
3,340,1.942738890647888e-06
3,360,5.6140124797821045e-06
3,380,5.392357707023621e-06
3,400,3.5669654607772827e-06
3,420,4.995614290237427e-06
3,440,7.450580596923828e-09
3,460,0.00045205652713775635
3,480,0.00010550394654273987
4,20,2.3484230041503906e-05
4,40,3.49581241607666e-05
4,60,6.821379065513611e-05
4,80,1.0985881090164185e-05
4,100,9.451061487197876e-06
4,120,8.277595043182373e-06
4,140,2.142973244190216e-05
4,160,6.455928087234497e-06
4,180,1.772865653038025e-05
4,200,1.6182661056518555e-05
4,220,2.008303999900818e-05
4,240,1.3636425137519836e-05
4,260,1.2720003724098206e-05
4,280,1.0989606380462646e-07
4,300,1.5096738934516907e-05
4,320,1.0766088962554932e-05
4,340,3.330409526824951e-06
4,360,9.605661034584045e-06
4,380,1.5271827578544617e-05
4,400,2.9746443033218384e-06
4,420,2.7418136596679688e-06
4,440,2.6151537895202637e-06
4,460,0.0006141718477010727
4,480,0.0001764930784702301
5,20,7.599405944347382e-05
5,40,1.874566078186035e-05
5,60,0.0
5,80,2.473592758178711e-05
5,100,3.127008676528931e-05
5,120,4.440918564796448e-05
5,140,1.5264376997947693e-05
5,160,3.725290298461914e-09
5,180,7.450580596923828e-09
5,200,0.00046467967331409454
5,220,5.2187591791152954e-05
5,240,9.279698133468628e-05
5,260,2.1593645215034485e-05
5,280,7.005967199802399e-05
5,300,2.9733404517173767e-05
5,320,1.237913966178894e-05
5,340,3.1871721148490906e-05
5,360,1.8496066331863403e-05
5,380,8.353963494300842e-06
5,400,2.280808985233307e-05
5,420,1.3880431652069092e-05
5,440,6.336718797683716e-06
5,460,1.7583370208740234e-05
5,480,1.603551208972931e-05
6,20,9.465962648391724e-06
6,40,2.2374093532562256e-05
6,60,8.450821042060852e-06
6,80,1.1704862117767334e-05
6,100,1.0950490832328796e-05
6,120,6.839632987976074e-06
6,140,3.244727849960327e-06
6,160,9.384006261825562e-06
6,180,2.946704626083374e-06
6,200,1.862645149230957e-09
6,220,1.0905787348747253e-05
6,240,8.882582187652588e-05
6,260,0.00018561072647571564
6,280,6.294623017311096e-05
6,300,8.125044405460358e-05
6,320,1.4424324035644531e-05
6,340,2.166256308555603e-05
6,360,8.178874850273132e-06
6,380,1.4100223779678345e-06
6,400,2.812594175338745e-07
6,420,3.390014171600342e-07
6,440,4.023313522338867e-07
6,460,2.1606683731079102e-07
6,480,1.8998980522155762e-07
