Epoch,Training Loss,Validation Loss
1,0.8902377450417598,0.02178467264989527
2,0.009909083565996766,0.005143936513355229
3,0.004458085401457888,0.004705672822438362
4,0.0036291930880947626,0.002998595083855486
5,0.0032667957863115084,0.003656648256535816
6,0.003339108684450642,0.0025695473969842087
7,0.0028275152820811176,0.0019625412386357483
8,0.0029866588034924563,0.002400487110873389
9,0.0030509987122570347,0.0022253010801050995
10,0.0028230098919108863,0.0032259231466162056
11,0.0028474770112687725,0.002928555927455153
12,0.0026386746866242056,0.0025512825435489357
