Epoch,Training Loss,Validation Loss
1,0.027658228016725222,0.0011583543978858648
2,0.0017826435082057106,0.00039702491228784835
3,0.000669684877047929,0.0002665586466238478
4,0.000663441767728199,0.000137781105211882
5,0.0009630646134417449,0.001898790112543024
6,0.0004689253267581588,0.0004292651069442762
7,0.0006371022249994978,9.285447335082054e-05
8,0.000532324873711888,8.581067008271117e-05
9,0.00014691350500592814,4.4816536824494436e-05
10,0.0004890911480633081,0.000310815484438515
11,0.000205461567077642,5.554800471425485e-05
12,0.0003314429368445799,9.631461207947993e-05
13,0.0002589189528576321,8.6538844258844e-05
14,0.00013730186934431425,7.987177651058087e-05
