epoch,accuracy
1,0.06669217036470289
2,0.11718949247640909
3,0.19752614129048712
4,0.28207090028054066
5,0.42412649834225963
6,0.6312165263963274
7,0.7750573833205815
8,0.8499107370568733
9,0.8926294312675338
10,0.9339454220862025
11,0.9672277480234635
12,0.9843152257077277
13,0.9895434838051518
14,0.995026778882938
15,0.9970670747258352
16,0.9977046671767407
17,0.9977046671767407
18,0.9985972966080081
19,0.9984697781178271
20,0.9987248150981892
21,0.9980872226472839
22,0.9987248150981892
23,0.9991073705687324
24,0.9988523335883703
25,0.9989798520785514
26,0.9989798520785514
27,0.9989798520785514
28,0.9988523335883703
29,0.9994899260392757
30,0.9987248150981892
31,0.9992348890589136
32,0.9993624075490947
33,0.9992348890589136
34,0.9994899260392757
35,0.9993624075490947
36,0.9993624075490947
37,0.9996174445294568
38,0.9994899260392757
39,0.9996174445294568
40,0.9993624075490947
