Epoch,Batch,Training Loss
1,20,0.00015056133270263672
1,40,8.231401443481445e-05
1,60,2.9906630516052246e-05
1,80,4.738569259643555e-05
1,100,1.8864870071411133e-05
1,120,1.55717134475708e-05
1,140,1.8987804651260376e-05
1,160,5.159527063369751e-06
1,180,8.225440979003906e-06
1,200,2.5153160095214844e-05
1,220,4.760921001434326e-06
1,240,9.816139936447144e-06
1,260,1.0047107934951782e-05
1,280,5.707144737243652e-06
1,300,3.520399332046509e-06
1,320,0.0
1,340,1.7695128917694092e-06
1,360,3.1739473342895508e-06
1,380,1.4230608940124512e-06
1,400,1.2926757335662842e-06
1,420,5.867332220077515e-07
1,440,0.16076819598674774
1,460,6.514787673950195e-05
1,480,4.807114601135254e-05
2,20,5.887448787689209e-05
2,40,5.4389238357543945e-05
2,60,4.234910011291504e-05
2,80,5.377829074859619e-05
2,100,1.589953899383545e-05
2,120,7.081776857376099e-06
2,140,1.874193549156189e-05
2,160,2.232193946838379e-05
2,180,3.059953451156616e-05
2,200,0.0
2,220,8.422136306762695e-05
2,240,3.5196542739868164e-05
2,260,1.3478100299835205e-05
2,280,4.6156346797943115e-06
2,300,0.0
2,320,1.9818544387817383e-06
2,340,6.891787052154541e-07
2,360,1.6540288925170898e-06
2,380,2.2165477275848389e-07
2,400,5.587935447692871e-07
2,420,1.5273690223693848e-07
2,440,5.140900611877441e-07
2,460,1.1362135410308838e-07
2,480,1.0244548320770264e-07
3,20,8.568167686462402e-08
3,40,2.3469328880310059e-07
3,60,7.264316082000732e-08
3,80,1.341104507446289e-07
3,100,2.4586915969848633e-07
3,120,1.1175870895385742e-07
3,140,1.0058283805847168e-07
3,160,0.0
3,180,1.341104507446289e-07
3,200,4.0978193283081055e-08
3,220,7.82310962677002e-08
3,240,1.1175870895385742e-07
3,260,1.0058283805847168e-07
3,280,2.0116567611694336e-07
3,300,0.0
3,320,1.7881393432617188e-07
3,340,5.587935447692871e-08
3,360,4.604458808898926e-05
3,380,0.00010648369789123535
3,400,1.665949821472168e-05
3,420,3.1538307666778564e-05
3,440,2.1591782569885254e-05
3,460,1.179426908493042e-05
3,480,1.0289251804351807e-05
4,20,4.101544618606567e-06
4,40,7.156282663345337e-06
4,60,6.292015314102173e-06
4,80,8.493661880493164e-06
4,100,0.00015735626220703125
4,120,0.00018680095672607422
4,140,0.00011289119720458984
4,160,6.61611557006836e-05
4,180,0.0
4,200,1.8551945686340332e-05
4,220,3.075599670410156e-05
4,240,1.3113021850585938e-05
4,260,1.1704862117767334e-05
4,280,5.37186861038208e-06
4,300,6.008893251419067e-06
4,320,1.426786184310913e-06
4,340,3.883615136146545e-06
4,360,4.246830940246582e-07
4,380,5.513429641723633e-07
4,400,5.699694156646729e-07
4,420,2.5704503059387207e-07
4,440,1.9744038581848145e-07
4,460,4.6938657760620117e-07
4,480,1.8998980522155762e-07
5,20,1.862645149230957e-07
5,40,1.2293457984924316e-07
5,60,3.5390257835388184e-08
5,80,1.2665987014770508e-07
5,100,2.9802322387695312e-08
5,120,1.564621925354004e-07
5,140,2.421438694000244e-08
5,160,4.470348358154297e-08
5,180,4.0978193283081055e-08
5,200,3.725290298461914e-08
5,220,1.1790543794631958e-06
5,240,4.684925079345703e-05
5,260,7.832050323486328e-05
5,280,0.00013580918312072754
5,300,2.3558735847473145e-05
5,320,2.5659799575805664e-05
5,340,1.3321638107299805e-05
5,360,1.1213123798370361e-05
5,380,9.894371032714844e-06
5,400,8.463859558105469e-06
5,420,2.2932887077331543e-05
5,440,1.4036893844604492e-05
5,460,1.2882053852081299e-05
5,480,8.795410394668579e-06
6,20,0.0
6,40,2.4121254682540894e-06
6,60,9.067356586456299e-06
6,80,1.0812655091285706e-05
6,100,1.0151416063308716e-05
6,120,5.766749382019043e-06
6,140,3.6135315895080566e-06
6,160,5.129724740982056e-06
6,180,3.28943133354187e-06
6,200,1.55717134475708e-06
6,220,8.918344974517822e-06
6,240,1.4230608940124512e-06
6,260,4.10713255405426e-06
6,280,3.978610038757324e-06
6,300,6.332993507385254e-06
6,320,1.2218952178955078e-06
6,340,2.332031726837158e-06
6,360,0.0
6,380,0.0
6,400,0.0004603862762451172
6,420,0.0
6,440,2.969801425933838e-05
6,460,1.0050833225250244e-05
6,480,7.800757884979248e-06
7,20,1.7523765563964844e-05
7,40,1.5288591384887695e-05
7,60,1.370161771774292e-05
7,80,2.8070062398910522e-06
7,100,1.955777406692505e-06
7,120,1.0058283805847168e-06
7,140,0.0
7,160,1.1920928955078125e-07
7,180,2.514570951461792e-07
7,200,6.705522537231445e-08
7,220,2.1606683731079102e-07
